,title,internal_id,url,description,responsibilities,qualifications,company,publish_date
0,Assistant to Two Leads,2271915,https://boards.greenhouse.io/deepmind/jobs/4281175,"We are seeking an Assistant to support two of our Leads in Research. This is a rare opportunity to join an extraordinary team of people in a complex, mission-driven company. This role would suit someone who thrives in fast-paced, changeable environments and is looking to define their career within a company working on ground-breaking technology that could change the world. You’ll be resolving operational and administrative issues proactively and moving quickly, adapting to changing priorities; coordinating diaries; anticipating your Leaders needs; and ensuring they're prepared for each day.","Provide reactive and proactive support to your Leaders. Strategically manage a complex, ever-changing calendar of meetings, conference calls, interviews and appointments in line with both your Leaders and the organisation’s priorities, across numerous time zones, across different office locations, and on behalf of multiple key partners. Construct a deep and thoughtful understanding of the multiple workstreams, objectives, key results and complex projects being carried out by the Leaders. Develop a strong working relationship with your Leaders, thinking ahead and managing both priorities and risks, anticipating challenges before they arise and proposing solutions to enable effective decision-making. Enable the Leaders by performing consistent meeting analysis, ensuring that their time is being used effectively; they are clear of their role within meetings and that they're well prepared for their meetings Confirm that meeting roles, agendas and briefing documentation is in place for each meeting Have a clear comprehension of your Leaders key partners; ensuring that they are meeting with these individuals and their large number of reports in the correct cadence Partner with our Program Managers and help coordinate team meetings and circulate agendas - ensuring everyone is well prepared, time is used effectively and actions are complete Gather, track, and communicate any follow-up or actions for your Principals Collaborate closely with the Travel Team and arrange frequent domestic and international travel for conferences, international office visits and speaking engagements - e. g. hotel reservations, flight check-in, visas, detailed travel itineraries and overseas transport - whilst being the primary contact point for when the Leaders are travelling Welcome guests and ensure they have a great visitors' experience - ensuring room set-up, providing an office tour and offering refreshments Draft and send out team communications on behalf of the Leaders Contributes, proactively, to a social and inclusive environment in your Leader's team; enabling a variety of opportunities for connection. Drive internal business and team bonding opportunities, collaborating closely with the Program Manager and Team Coordinator to organise events e. g. off-sites, lunches, retreats, talks and seminars. Provide personal support, errand running and duty-of-care e. g. lunch, water / tea, post, travel etc. Undertake financial administration e. g. submit expense claims and approve purchase order requests; approve invoices; reimbursements etc. Scan, copy, file and maintain an effective archiving system (online and offline) Work closely with the Management Support Team to provide Assistant support during peak periods as required","An experienced Assistant who performs best in fast-paced environments, with bags of energy and a keen interest to continue to grow your career in supporting and enabling others. Colleagues describe you as positive, warm, kind, trustworthy, and efficient, with a can-do approach and a thirst for learning. Proactive, a self-starter and natural problem-solver; identifying what needs to be done without guidance. Aware of what your Leaders need to do everyday, what should be achieved and when, so that you can assist to reduce stress and setbacks Comfortable communicating both internally and externally; adapting communication styles accordingly Highly organised; used to working at a very fast pace and juggling many different priorities, whilst ensuring impeccable attention to detail Utilise superb diary management skills to make the most of every day Staying flexible and unflappable when priorities shift; being reactive, available and accessible to urgent changes or tasks Preparation and research is second nature. You have extensive experience creating detailed schedules; plan down to the very last detail and always have contingencies in place Naturally curious and ask questions A resilient nature that remains calm even in the most stressful of situations; seeking understanding and implementing changes as required, and learning from any setbacks You handle your (sometimes conflicting) priorities well; coordinating multiple deadlines; and are comfortable pushing back and managing expectations in a mindful way Committed and always organised; you are willing to roll your sleeves up and get stuck in with anything; this mentality means that no task is too big or too small An ability to instil trust with people, especially with other Assistants. Putting people at ease, influencing and creating understanding. Your knowledge and approach means that people actively seek your guidance A recognition for the value in forming relationships with key partners across the entire organisation, dealing thoughtfully, calmly and effectively with different teams across the business Hierarchy isn’t important to you; collaborating as a team and working towards our mission is your driver Most of all, you instinctively act with total discretion and diplomacy, and apply sound judgement in responding to circumstances - both predictable and unexpected. Loyalty and confidentiality are a key requirement This is a career defining role and applicants should be ready to commit to this long term mission. This opportunity offers the chance to be a key part of something extraordinary and the opportunity to make a real difference. Please include a cover letter when applying and tell us how you can make a difference to our team. Competitive salary applies",DeepMind,2022-08-09 08:04:33
1,"Assistant to Two leads, Operations",2305052,https://boards.greenhouse.io/deepmind/jobs/4380039,"We are seeking an Assistant to support two Leads in Organisational Infrastructure. We need someone to strategically manage the day-to-day administration and operational needs of the Director of Public Policy and one other Lead (who will be confirmed); providing support with projects & initiatives that help drive the team & company’s priorities. This role would suit someone who thrives in fast-paced, changeable environments and is looking to define their career within a company.","Strategically manage complex, ever-changing calendars of internal and external meetings, conference calls & interviews Collaborate closely with the Travel Team and arrange frequent travel for meetings, international office visits and speaking engagement Meeting support; circulating agendas, capturing notes and ensuring actions are complete Track, report progress, and handle meeting schedules of active projects that the Leaders are sponsors or contributors on Financial administration e. g. compile expense claims and approve purchase order requests; contract creation, reimbursements, etc. Welcome guests and ensure they have a great visitor experience - ensuring room set-up and offering refreshments Organise regular offsites & events (virtual or in person) Build and maintain effective working relationships with your Leaders key partners and the Management Support Community Partnering with Program Manager to support administrative and operational tasks and processes; suggesting ideas for continuous improvement to increase efficiencies","Passionate about supporting and enabling others Highly organised with the ability to juggle several tasks and prioritise accordingly. Can adapt quickly to changing demands Always on the lookout for time-saving solutions and new tools Collaborative and thrives in a team environment Solid communicator and active listener Able to build relationships across teams and foster trust Naturally curious and willing to learn Proactive, a self-starter and natural problem-solver Supporting your Leaders is what motivates you every day Experience with Google Suite is preferable but not crucial Competitive salary applies #LI-NS1",DeepMind,2022-08-09 08:01:53
2,"Assistant to Two Research Leads, Fixed Term",2327956,https://boards.greenhouse.io/deepmind/jobs/4445901,We are seeking an Assistant to support two Leads in our Research team for a fixed term of 16 months. We need someone to strategically manage the day-to-day administration and operational needs and support projects & initiatives that help drive the team & company’s priorities.,"Strategically manage complex, ever-changing calendars of meetings, conference calls & interviews Arrange frequent travel for meetings, international office visits and speaking engagement Manage & support your Leaders’ priorities, anticipating challenges before they arise and proposing solutions. Meeting support: circulating agendas, capturing notes and ensuring actions are complete Track, report progress, and handle meeting schedules of active projects that the Leaders are sponsors or contributors on Supporting with administrative and operational tasks and processes, suggesting ideas for continuous improvement to increase efficiencies Financial administration e. g. compile expense claims and approve purchase order requests, contract creation, reimbursements, etc. Organise regular offsites & events (virtual or in person) Build and maintain effective working relationships with your Leaders key partners and the Management Support Community","Passionate about supporting and enabling others Highly organised with the ability to juggle several tasks and prioritise accordingly Can adapt quickly to changing demands and is comfortable with ambiguity Always on the lookout for time-saving solutions and new tools Collaborative and thrives in a team environment Solid communicator and active listener Able to build relationships across teams and foster trust Naturally curious and willing to learn Proactive, a self-starter and natural problem-solver Supporting your Leaders is what motivates you every day Experience with Google Suite is preferable but not crucial Competitive salary applies",DeepMind,2022-08-09 08:02:19
3,Business & Corporate Development Manager,2328832,https://boards.greenhouse.io/deepmind/jobs/4448670,"The newly formed Business and Corporate Development team enables DeepMind's mission by identifying, supporting, shaping, negotiating and managing strategic opportunities to partner externally. We work in direct collaboration with our world-leading AI researchers, and other partner teams developing an understanding of DM’s research and business strategy and connecting these to business development needs.","Develop a deep understanding of DeepMind’s research and business strategy and connect them to B&CD needs Serving as lynchpin between internal teams and external partners. Partnering with team leads and internal stakeholders to proactively identify new opportunities, explore options to accelerate impact, assess risks and ethics and initiate or further engagement. Leading on inward-looking assessment to identify potential gaps / assets that could be filled / exploited by opportunities external to DM and working with other DM teams to identify external opportunities, key partners and emerging trends. Negotiate agreements with external partners to carry out joint research, license technology and data, acquire assets etc. Lead cross-functional teams on key transverse strategic initiatives, managing coordination with teams such as Research, Legal, Operations, Finance, Strategy and Operations, Policy & Program Management. Tracking and analysing DMs partnerships, establishing internal connections and maximising impact - PoC for key external partners","In order to set you up for success as a BCD Manager at DeepMind we look for the following skills and experience: Excited by our mission and AI / Machine Learning BSc / MSc / PhD in Computer Science or equivalent technical field (or equivalent work experience) Professional experience in business development, strategic negotiations and partnership management in a high growth tech environment. Excellent relationship-building, communication, and interpersonal skills, confident in engaging researchers and engineers. Proven negotiation skills, problem-solving and analytical skills, with excellent business judgement, thought leadership and innovation. Strong analytical and reasoning skills to structure deals and handle technical, contractual and financial issues. Having worked with large scale datasets and / or machine learning and experience. The ability to effectively influence and communicate cross-functionally with all levels of management including senior executives. In addition, the following would be an advantage: Previous experience in AI / ML industry or research environment Proven track-record of commercialising datasets and / or related technologies. Experience using a CRM Application closing date: 2nd September",DeepMind,2022-08-08 09:32:41
4,"Editorial Manager, Fixed Term Contract",2317748,https://boards.greenhouse.io/deepmind/jobs/4417876,,"Prepare, produce or commission content across a range of formats (print, film, animation etc) for publication on the DeepMind website and across other marketing channels. Distil AI research into clear narratives for audiences, from the AI research community to a more general public audience. Edit and write technical and non-technical blog posts to support the organisation and its goals. Commission and manage external copywriters / content producers to produce content for DeepMind platforms. Ensure consistency of format and tone-of-voice for publishing channels. Work with stakeholders from around the business to understand their objectives and pitch then deliver ideas that help them achieve them. Work with stakeholders to devise new editorial and publishing processes that are clear, consistent and help us scale our communications. Devise, develop and contribute to new editorial formats.","You have an editorial mindset and are fascinated by science. You’re a strong editor, writer and project manager who wants to find and create stories that delight our audiences. You’re excited by the possibilities of telling stories about artificial intelligence - even if you’ve never worked in the field before. You’re fast and responsive, care about detail and are able to handle competing deadlines on fast-moving projects. You care about efficient processes - you’ll help us improve and scale the way we operate and want to teach others. You might have a background in journalism, digital production, communications, marketing or similar. You’re skilled at forming positive relationships across a sophisticated organisation, and can use those relationships to operationalise communications processes at scale You understand web publishing and have a detailed knowledge of a CMS. You have an entrepreneurial state of mind and can act, deliver and problem solve on your own. Experience required: Professional experience as a journalist, writer or communicator is essential, experience as a science journalist would be an advantage Experience of creating and delivering story-telling in a range of formats (print, online, video, podcasts etc) Excellent verbal and written communications skills, able to write and produce content for different audiences in different styles. Ability to engage with subject-matter specialists to help them craft clear stories, delving into technical content regardless of academic background Strong technical foundations or ability to learn. Experience writing about AI or another technical field would be an advantage Experience using digital publishing tools and an understanding of how best to build and promote content to an online audience Understanding of web analytics and how they relate to content production. Demonstrable curiosity about AI, our work and our mission Closing date: 12 August 2022",DeepMind,2022-08-05 10:08:56
5,Employee Relations Partner,1726743,https://boards.greenhouse.io/deepmind/jobs/2928424,"DeepMind has a remarkable track record of scientific breakthroughs. Such extraordinary work is a direct result of the brilliant and diverse people we bring together. Our People & Culture team work together to maintain, optimise, and nurture our culture to create the best environment in the world for advancing AI research. A place where everyone’s expertise is recognised and where everyone is continually learning and supported to be the best leaders, managers, and collaborators they can be.","Crafting and delivering people practises which develop and maintain positive working relationships. Solving HR and policy issues, anything from handling long term sickness to working on a disciplinary investigation which includes advising on best practice and note-taking responsibilities, to assisting in the management of poor performance. Supporting large-scale change programmes, and being a point of contact for topics such as organisational restructures, maternity and paternity, sickness absence. Helping ensure our employee handbook, policies and code of conduct are up to date, legally compliant and reflect our culture and ways of working. . Identifying and implementing appropriate reporting mechanisms for employee relations cases, both informal and formal. Partnering closely with Learning and People Partners to ensure managers are equipped to support with people challenges in a fair and effective way, and to enable you to build strong relationships across the organisation. You’ll mainly cover the UK Legal Jurisdictions but will also advise and support US, Canada or France teams.","You are driven by fairness, high quality delivery and standards, and care deeply about people. When handling people issues, you efficiently navigate legal, cultural and business risks and tensions. You enjoy conflict management and problem solving. You have experience of handling investigation and disciplinary processes. You enjoy learning about and working within non-UK legal jurisdictions. You have change management experience. You hold a solid understanding of organisational culture. Different work environments pose different challenges for people, so too does the ever-changing nature of our organisation as we grow, scale, and evolve. You proactively ensure your Employment Law expertise is up-to-date. Taking the learning opportunities after each case you support, you possess a continuous improvement approach",DeepMind,2022-08-05 10:08:56
6,Ethics Research Scientist,2299100,https://boards.greenhouse.io/deepmind/jobs/4357609,"Research Scientists on the Ethics Research team at DeepMind lead our efforts in developing novel ethical research and tools that advance our understanding of emerging ethical questions surrounding AI, together with its potential applications and deployment.","Contribute to responsible innovation on AI-driven science research, including developing ethically-aligned and socially responsible research, projects, experiments, and designs in collaboration with other researchers at DeepMind. Communicate complex social and ethical topics and nuanced insights to different types of internal and external audiences. Contribute to the design and running of ethics training programs to help teams anticipate and understand the ethical implications of new technologies. Develop ethics analyses and provide evidence-based recommendations, primarily for internal use.","Minimum qualifications: MSc, MPH or PhD in an area relevant to the world class study of science ethics, socially responsible science, science and technology studies (STS), critical science, science policy, and / or the ethics of fundamental science, or a related field; and with expertise in areas such as, but not limited to, the right to science, opportunities and risks in the life sciences, molecular biology, genomics, proteomics, and / or bioinformatics. This can be, e. g. : A MSc in the sciences together with a PhD / MPH or MA / MPH in, e. g. , bioethics or public health; OR A PhD in the sciences together with additional training or experience in normative considerations such as science ethics; OR Equivalent career experience. Experience in an academic institution, a think tank, or equivalent industry role, or in a role dealing with complex ethical challenges. Demonstrated track record of research excellence through some combination of publications in leading journals, presentations at interdisciplinary conferences, or awards and honours. Demonstrated expertise and academic specialisation, as well as demonstrated ability to quickly evaluate complex issues outside of one’s area of specialisation and to work across multiple science and technology areas. A motivated team player, who can exercise accurate judgement in a rapidly changing environment. Excellent personal, analytical and organisational skills. Excellent communicator, in person and in writing. Desirable qualifications Experience conducting research on AI-driven life sciences research. Experience with critical approaches to science and technology studies, e. g. value sensitive design, responsible innovation, feminist methodology, etc. Experience in research design and methodology, with the ability to conduct well grounded empirical research in quantitative, qualitative or mixed methods. Experience in leading projects. Experience researching the implications of emerging technologies. Competitive salary applies. Application Deadline: 21st August 2022.",DeepMind,2022-08-05 10:08:56
7,Executive Assistant Manager,2191735,https://boards.greenhouse.io/deepmind/jobs/4050310,"The Management Support Team (MST) are our team of Assistants at DeepMind. We are seeking a permanent MST Manager to join our London office. This role would suit someone who thrives in fast-paced, changeable environments and is looking to define their career within a company that could change the world.",,"You are a resilient individual who has previously worked as an Assistant supporting senior individuals with varying working styles; and you perform best in a fast-paced environment. Your colleagues describe you as positive, reliable, self-aware, kind, and efficient with a can-do attitude and an appetite for learning You have specific experience working within and managing a team of Assistants or support staff in fast-paced organisations You understand and value the critical role that an Assistant delivers in its ability to partner with Leaders, enable, optimise and provide solutions You are proactive, a self-starter and natural problem-solver; you see the gaps what needs to be done / what can be improved without guidance You are used to communicating both internally and externally, and you adapt your communication style accordingly in a thoughtful way A resilient nature, you remain calm even in the most stressful of situations; implementing changes as required, seeking understanding and learning from any setbacks You operate effectively, especially under conditions of uncertainty Preparation and research is second nature, allowing you to always stay one step ahead; you plan down to the very last detail You are committed and stay on top of things; you are willing to roll your sleeves up and get stuck in with anything; and your mentality means that no task is too big or too small A natural ability to form relationships with people quickly. You put people at ease, create understanding, influence and instil trust. You have a warmth about you and can read a situation and act appropriately, especially when corresponding with senior partners Hierarchy isn’t important to you; collaborating as a team and working towards our mission is what drives you every day Most of all, you instinctively act with absolute discretion and diplomacy, and apply sound judgement in responding to circumstances - predictable and unpredictable. Experience managing support staff would be an advantage This opportunity offers the chance to be a key part of something extraordinary and the opportunity to make a real difference. Competitive salary applies",DeepMind,2022-08-05 10:08:56
8,"Games Systems Engineer, Worlds",316392,https://boards.greenhouse.io/deepmind/jobs/469517,"We’re keen to hire a Games Systems Engineer to join our Worlds team, building games for AI agents.",,"You are a collaborative software engineer with a real passion for software creation and problem solving with an enthusiastic, can-do attitude to overcoming technical challenges. You’ll need a strong foundation in software engineering within a games setting and enjoy working on a wide range of challenging problems within a mission-driven team. In order to set you up for success as a Games Systems Engineer at DeepMind, we look for the following skills and experience: Proven C++ or C# programming experience Software design, development and testing Experience with one of the following: Tools development Game engines such as Unity or Unreal Build systems and asset pipelines Physics programming Performance optimisation Concurrent or distributed systems architecture In addition, the following would be an advantage: Rendering experience useful Basic understanding of maths and statistics Python programming Competitive salary applies",DeepMind,2022-08-05 10:08:56
9,Impact Evaluation Manager (Fixed Term Contract),2308577,https://boards.greenhouse.io/deepmind/jobs/4390398,"Artificial Intelligence could be one of humanity’s most useful inventions. At DeepMind, we’re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in artificial intelligence. We use our technologies for widespread public benefit and scientific discovery, and collaborate with others on critical challenges, ensuring safety and ethics are the highest priority!","Manage consultancies: we plan to work with two consultancies to carry out a 12-month effort. This will include both a quantitative analysis of AlphaFold citations, and a qualitative assessment of who is using, or not using AlphaFold, and how. The consultancies are due to start work in late June. In this position, you will help us to supervise and review the consultancies’ work, ensure it aligns with the agreed scope, and ensure that the different workstreams are coordinated. Understand AlphaFold use: track and review internal discussions and flagship publications relating to AlphaFold use, to help inform the workstream. Reporting and analytics: support on collating and analysing other relevant data points that DeepMind has access to on AlphaFold use, for example, Google Analytics data for the AlphaFold Database. You will support on identifying and creating new metrics (quantitative and qualitative) to measure the impact of AlphaFold and other DM workstreams. Secure internal inputs and consensus: coordinate with various teams at DeepMind to review outputs and ensure they’re useful. This includes marketing, research and social impact teams, and select external partners. Supporting later dissemination: work with internal teams, such as those focussed on marketing, public policy and product / engineering, to find ways for those teams to incorporate the findings and insights from the workstream into their work. Draw wider learnings for DeepMind: summarise findings and help to scope a broader approach for social impact monitoring evaluation for DeepMind (including ongoing AlpahFold work).","In order to set you up for success as an Impact Evaluation Manager at DeepMind, we look for the following skills and experience: Bachelor’s or Master’s degree in Biology, Public Policy, Data Analytics, or in a related field, or equivalent experience. Experience in running complex projects, involving multiple external and internal collaborators, including consultancy partners. Experience leading projects that involve assessing quantitative and qualitative evidence, and drawing out insights and conclusions. In addition, the following would be an advantage: Experience and / or familiarity with the field and techniques of social impact evaluation, including research impact evaluation. Experience, familiarity and / or interest in science research, and in particular, biology. Competitive salary applies. Our list of benefits at DeepMind is extensive, and we’re happy to discuss this further throughout the interview process! Application Deadline: 7th August 2022.",DeepMind,2022-08-05 10:08:56
