topic,Popularity,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29
Topic 0,169,business,need,understand,acumen,opportunity,build,requirement,result,value,leader,key,dynamics,unique,application,b,growe,growth,size,pricing,owner,expert,bridge,savvy,entrepreneur,new,define,intelligence,tech,stakeholder,find
Topic 1,40,software,engineer,development,architecture,less,pattern,scaling,year,new,reliability,design,contribute,one,internship,current,distribute,language,object,building,scalable,orient,scale,non,build,professional,problem,look,team,mentor,feature
Topic 2,2999,protect,employment,medical,disability,status,accommodation,applicant,qualify,identity,genetic,origin,religion,perk,regard,sex,marital,pregnancy,ancestry,affiliation,mental,ordinance,color,depend,political,nature,national,consideration,sexual,orientation,veteran
Topic 3,303,cloud,compute,hybrid,public,migration,infrastructure,native,application,iaas,gcp,paas,adoption,modernization,workload,offering,certification,private,saas,vmware,virtualization,deployment,premise,kubernetes,container,company,etc,equivalent,api,preferr,adopt
Topic 4,1255,life,balance,member,culture,inclusion,mentorship,team,employee,personal,career,hour,professional,earn,amazecon,ethnicity,chapter,affinity,learn,strike,happiness,growth,remind,celebrate,tenure,reinforce,put,round,conference,difference,host
Topic 5,3,process,improvement,improve,implement,efficiency,document,continuous,identify,operational,tool,procedure,knowledge,change,drive,documentation,ensure,standard,new,workflow,implementation,optimization,function,optimize,perform,exist,sigma,monitor,internal,creation,requirement
Topic 6,811,bull,support,accommodation,medical,employment,protect,disability,status,css,outcome,qualify,mission,applicant,delivery,dp,care,cens,applicable,team,requestvia,cscp,vary,nature,ta,enable,deliver,growth,collaboration,political,genetic
Topic 7,410,engineer,software,information,code,design,another,scale,technology,versatile,product,retrieval,natural,feedback,project,need,fresh,network,artificial,switch,language,user,develop,review,enthusiastic,one,ui,massive,extend,testability,amongst
Topic 8,368,datum,analytics,big,spark,warehouse,pipeline,etl,hadoop,sql,scala,source,science,hive,platform,engineer,use,lake,python,governance,dataset,large,scientist,scalable,intelligence,apache,kafka,structure,like,bi,stream
Topic 9,131,enterprise,platform,edge,transform,grade,technology,digitally,clean,cutting,turn,territory,accelerate,industry,leverage,organization,partner,ability,solve,trust,growth,enable,problem,deliver,infrastructure,country,solution,customer,expertise,critical,help
Topic 10,156,game,gameplay,studio,development,xbox,player,mobile,engine,overseas,aaa,cooperation,console,love,pc,shoot,year,shenzhen,responsible,timi,play,creator,unreal,ue,strong,title,world,unity,preferr,module,commercialization
Topic 11,32,salary,colorado,compensation,minimum,range,bonus,sb,disclosure,equity,note,additional,office,hire,benefit,role,require,information,full,year,time,nest,base,insurance,certain,incentive,field,term,practical,degree,program
Topic 12,103,industry,technology,innovation,trend,capability,deep,understand,internet,healthcare,dt,knowledge,priority,energy,entire,ecological,automotive,strategy,relevant,industrial,wonder,environmental,scenario,strong,good,kind,banking,create,inspire,found,retail
Topic 13,10,strategy,strategic,drive,cross,executive,partnership,leadership,across,initiative,organization,lead,functional,influence,global,leader,develop,stakeholder,priority,execution,roadmap,insight,term,alignment,execute,goal,key,level,long,growth,senior
Topic 14,25,support,issue,troubleshoot,resolve,provide,resolution,problem,tool,cause,contact,team,root,escalation,knowledge,ensure,administration,hour,identify,assist,escalate,chat,incident,call,shift,maintain,weekend,diagnose,engineer,triage,update
Topic 15,666,test,case,qa,manual,automate,tester,bug,defect,functional,execute,report,script,regression,engineer,software,debug,release,assurance,functionality,perform,create,validation,failure,methodology,acceptance,writing,er,coverage,selenium,use
Topic 16,211,train,learn,trainer,course,skill,employee,material,instructor,instructional,education,curriculum,certification,associate,classroom,teach,learner,knowledge,development,adult,individual,session,support,new,coach,enablement,develop,career,provide,conduct,expert
Topic 17,207,security,threat,secure,vulnerability,incident,response,cyber,detection,protection,cybersecurity,information,attack,penetration,siem,identity,access,protect,endpoint,soc,assessment,authentication,posture,remediation,defender,standard,malware,safe,intrusion,zero,attacker
Topic 18,478,analysis,analyst,insight,report,analytics,metric,analytic,sql,dashboard,decision,visualization,datum,intelligence,analyze,tableau,tool,actionable,statistical,analyse,quantitative,bi,recommendation,use,performance,identify,statistic,key,excel,make,stakeholder
Topic 19,81,attempt,era,something,never,invent,talk,let,call,along,thought,sell,possible,thing,think,consult,ready,code,challenge,market,solve,problem,collaborate,new,client,good,make,technology,world,lead,build
Topic 20,58,advertising,ad,advertiser,campaign,publisher,platform,growe,sponsor,helping,digital,revenue,programmatic,advertisement,monetize,marketplace,commerce,impression,click,effective,online,intersection,dsp,day,informative,performant,ecommerce,rich,news,goal,serving
