,title,internal_id,url,description,responsibilities,qualifications,company,publish_date
0,Разработчик интерфейсов в Буткемп Яндекса,1686,http://yandex.ru/jobs/vacancies/разработчик-интерфейсов-в-буткемп-яндекса-1686,"Яндекс нанимает разработчиков интерфейсов через Буткемп — восьминедельную программу для опытных фронтендеров. Её участники не прикреплены к определённым проектам, а поочерёдно пробуют себя в разных командах, где знакомятся с людьми, продуктами и технологиями. У такой системы много преимуществ:
 Разнообразие
 За время Буткемпа сотрудник имеет дело с разными технологиями, системами и задачами: БЭМ-разработкой и ReactJS, юнит-, регрессионным и функциональным тестированием, локализацией, аналитикой и экспериментами. Можно побыть пару недель в маленьком внутреннем стартапе, а затем перейти в команду, которая занимается промышленной разработкой.
 Знакомства
 Работая над задачами, кандидат знакомится с большим числом коллег из разных подразделений. Так он узнает, к кому в будущем можно обратиться за помощью или с необычным вопросом.
 Осознанный выбор
 Разработчики выбирают, чем станут заниматься в Яндексе, только после завершения Буткемпа — попробовав несколько непохожих друг на друга проектов.
 Подробнее о Буткемпе
 Подробнее о процессе найма",,"Мы ждем, что вы:
 отлично владеете чистым JS;
 хорошо знаете HTML и CSS;
 умеете работать с Git;
 имеете опыт кроссбраузерной разработки;
 имеете опыт клиентской/серверной разработки для веба не менее двух лет.",Yandex,
1,Android-разработчик в Маркет,4439,http://yandex.ru/jobs/vacancies/android-разработчик-в-маркет-4439,"Яндекс.Маркет — один из крупнейших мультикатегорийных маркетплейсов, которым ежедневно пользуются миллионы людей. Наши команды помогают покупателям приобретать товары не выходя из дома и получать заказы по всей стране, а партнерам — развивать свой бизнес, повышая продажи и привлекая новых клиентов.
 Мы ищем разработчика приложений для Android, который поможет нам сделать покупки с мобильного телефона максимально удобными и приятными. Вам предстоит участвовать в реализации новых идей, экспериментировать с подходами к разработке и творить для многомиллионной аудитории.","Что нужно делать:
 разрабатывать новые функции и улучшать уже существующие;
 принимать участие в планировании, обсуждении проектов;
 взаимодействовать с дизайнерами, тестировщиками, менеджерами, разработчиками, аналитиками;
 следить за работоспособностью сервиса и устранять технический долг.","Мы ждем, что вы:
 имеете опыт разработки на языке Kotlin или Java и разработки приложений под Android больше двух лет;
 умеете проектировать клиент-серверное взаимодействие;
 имеете опыт создания настраиваемых пользовательских интерфейсов;
 знаете классические алгоритмы и структуры данных;
 понимаете необходимость ревью кода.",Yandex,
2,Разработчик базы данных для рекламной системы,5370,http://yandex.ru/jobs/vacancies/разработчик-базы-данных-для-рекламной-системы-5370,Наша команда создает геораспределенную реляционную базу данных на технологии KV-хранилища в YT. База данных будет применятся для хранения всех данных рекламной системы Яндекса со встроенной системой для асинхронной обработки данных в режиме реального времени.,"Что нужно делать:
 развивать ядро базы данных;
 развивать ядро системы обработки данных в режиме реального времени;
 строить процессы миграции данных из традиционных баз данных в новую систему.","Мы ждем, что вы:
 готовы разрабатывать на C++;
 знаете классические алгоритмы и структуры данных;
 понимаете парадигму многопоточности, знакомы с основными алгоритмами и частыми проблемами этой области;
 понимаете ключевые аспекты построения отказоустойчивых распределенных систем;
 умеете писать легкочитаемый код.",Yandex,
3,Разработчик бэкенда в группу разработки алгоритмов назначения,5292,http://yandex.ru/jobs/vacancies/разработчик-бэкенда-в-группу-разработки-алгоритмов-назначения-5292,"Мы разрабатываем алгоритмы, которые делают эффективным выбор водителя для заказа. В результате такси приезжает на заказы быстрее, а у водителей сокращается время простоя или холостого пробега.
 Как мы работаем:
 
 основной язык разработки — C++ (сейчас C++17, но в ближайшее время перейдем на C++20). Также используем Python там, где это применимо;
 принимаем решения в реальном времени, анализируя перемещение сотен тысяч водителей;
 используем микросервисную архитектуру. У нас есть крутой фреймворк для создания асинхронных микросервисов;
 наши сервисы работают 24/7 и ежедневно используются миллионами людей. Поэтому весь наш код покрыт тестами, метриками и мониторингами;
 у нас опытная команда разработчиков и аналитиков. Коллеги всегда рады поделиться опытом.","Что нужно делать:
 подбор водителей на заказ с помощью буферного назначения. Интересные детали можно почитать по ссылке;
 организация электронных очередей в аэропортах. Зовем водителей в аэропорт, если их там не хватает, и при этом не даем скапливаться в порту большому числу водителей;
 разработка инструментов для аналитиков для тонкой ручной настройки параметров поиска водителей на заказ.","Мы ждем, что вы:
 хорошо знаете и понимаете C++, STL, а также классические алгоритмы и структуры данных;
 работали с базами данных PostgreSQL, MongoDB или Redis;
 имеете опыт разработки в Unix или Linux.",Yandex,
4,Разработчик на Python в Формы,5266,http://yandex.ru/jobs/vacancies/разработчик-на-python-в-формы-5266,"Наша команда разрабатывает Яндекс.Формы. Опросы в Дзене, формы обратной связи, регистрация на мероприятия Яндекса и партнеров — всё это и многое другое работает на движке Форм. Также Формы необходимы для бизнес-процессов самого Яндекса.
 Бэкенд сервиса написан на Python 3.9. Мы используем Django, PostgreSQL, Celery, Redis.","Что нужно делать:
 заниматься продуктовой разработкой;
 улучшать быстродействие сервиса и оптимизировать его под растущую нагрузку;
 обеспечивать качество работы сервиса.","Мы ждем, что вы:
 разрабатывали на Python (или на любом языке и хотите переключиться на Python);
 понимаете, как работают веб-сервисы и Unix;
 умеете писать эффективный и понятный код;
 способны аргументировать решения и договариваться с коллегами;
 работали с реляционными и нереляционными базами данных, понимаете их устройство;
 самостоятельны и готовы работать в команде.",Yandex,
5,Инженер по тестированию мобильных приложений в Плюс,5176,http://yandex.ru/jobs/vacancies/инженер-по-тестированию-мобильных-приложений-в-плюс-5176,"Яндекс.Плюс — это единая подписка на сервисы Яндекса, уникальный и сложный продукт. Плюс быстро растет, у нас несколько миллионов подписчиков, и мы не собираемся на этом останавливаться. Мы строим экосистему, которая станет драйвером роста Плюса как программы лояльности Яндекса. Наша цель — донести до людей преимущества Плюса, расширить кросс-сервисное использование, улучшить предложения сервисов в рамках Плюса. Работаем в режиме стартапа, очень много интересных задач.","Что нужно делать:
 заниматься функциональным тестированием SDK и standalone-приложения;
 проектировать тестовые сценарии и оформлять их в тестовую документацию;
 отслеживать качество сервиса;
 ставить разработчикам задачи на автоматизацию.","Мы ждем, что вы:
 тестировали мобильные приложения для iOS и Android не менее года;
 тестировали фронтенд и бэкенд;
 понимаете процессы разработки и тестирования;
 эффективно работаете при многозадачности;
 владеете инструментами тестирования;
 проявляете инициативу в улучшении процессов разработки и тестирования;
 знаете специфику мобильных платформ, вспомогательные инструменты и сервисы, необходимые для эффективного мобильного тестирования.",Yandex,
6,ML-разработчик в Поиск,4855,http://yandex.ru/jobs/vacancies/ml-разработчик-в-поиск-4855,"От нашей команды напрямую зависит качество поисковой выдачи Яндекса. Мы следим за последними результатами в смежных научных областях и используем передовой опыт в экспериментах и внедряемых моделях. Мы постоянно совершенствуем алгоритмы ранжирования, чтобы люди за считанные секунды получали точные ответы на сложные и замысловатые вопросы.","Что нужно делать:
 близко познакомиться с тем, как устроено ML в ключевом сервисе Яндекса;
 оптимизировать поисковые алгоритмы с помощью знаний об ML;
 придумывать, как извлекать качество из многомиллионных экспертных данных разной природы и поисковых логов;
 много экспериментировать.","Мы ждем, что вы:
 знаете Python;
 имеете хорошую алгоритмическую подготовку;
 решали ML-задачи: умеете сформулировать задачу в терминах ML, понимаете, как измерить результат, знакомы с алгоритмами и умеете выбирать подходящий.",Yandex,
7,Инженер по тестированию в виджет оплаты,4852,http://yandex.ru/jobs/vacancies/инженер-по-тестированию-в-виджет-оплаты-4852,"В Медиасервисах пользователь совершает различные сделки: покупает разные подписки, докупает опции к своим подпискам, покупает фильмы и музыку, арендует, активирует промокод с привязкой карты или без. Иногда делает это одновременно.
 Мы же создаем единый интерфейс, чтобы пользователь не путался в сложном процессе и мог выбрать для себя выгодное предложение.
 Наш виджет встроен на разных платформах (веб, мобильные приложения, Smart TV, PlayStation) и на разных сервисах (КиноПоиск, Музыка, лендинг Плюса, страница поиска Яндекса и т. п.). Продажи наших подписок происходят не только в РФ, но также и в других странах.
 В нашу команду мы ищем талантливого, не боящегося ответственности тестировщика.
 Мы ценим: 
 
 самостоятельность в принятии решений;
 инициативность и ответственность;
 постоянное стремление к лучшему;
 желание и умение работать в динамичной команде.","Что нужно делать:
 заниматься функциональным тестированием (веб, мобилки, SmartTV);
 писать автотесты на готовой инфраструктуре Selenium+JS;
 локализовать и документировать дефекты;
 отслеживать качество выпускаемого сервиса;
 писать тестовую документацию;
 постоянно улучшать процессы тестирования.","Мы ждем, что вы:
 занимались функциональным тестированием не менее двух лет;
 тестировали фронтенд и бэкенд;
 понимаете процессы разработки и тестирования;
 имеете навыки автоматизации фронтенда Selenium+JS;
 владеете различными инструментами тестирования;
 хорошо планируете свое время и умеете укладываться в срок;
 эффективно работаете в условиях многозадачности;
 последний год работали в аналогичной должности.",Yandex,
8,Разработчик в группу инструментов нагрузочного тестирования,4816,http://yandex.ru/jobs/vacancies/разработчик-в-группу-инструментов-нагрузочного-тестирования-4816,"Мы создаем и развиваем инструментарий нагрузочного тестирования, активно используемый внутри компании. Этими наработками мы делимся, размещая их в открытом доступе для всех желающих — наверняка вы слышали о Яндекс.Танке. Эти инструменты закрывают все этапы исследования производительности и сильно интегрированы с остальными инструментами разработки компании. Для любого сервиса, обслуживающего запросы пользователей, требуется обязательное понимание пределов его производительности и поиск слабых мест, влияющих на надежность сервиса в целом. В Яндексе таких сервисов тысячи, поэтому здесь инструменты нагрузочного тестирования крайне востребованы. При этом сами по себе они должны обладать достаточно высокими показателями производительности, чтобы обеспечить генерацию нагрузки и сбор метрик при тестировании сервисов, способных обработать сотни тысяч запросов в секунду.
 Часть наших проектов открыта для внешнего использования. Среди них: 
 
 сервис для хранения, отображения и автоматического анализа результатов Overload;
 фреймворк для нагрузочного тестирования Яндекс.Танк;
 генератор нагрузки Pandora.
 
 Мы ищем Python-разработчика, который займется развитием Яндекс.Танк, Pandora и остальных наших сервисов нагрузочного тестирования.","Что нужно делать:
 активно участвовать в проектировании новых сервисов;
 создавать инструменты, помогающие другим разработчикам;
 интегрировать наши инструменты с остальной инфраструктурой.","Мы ждем, что вы:
 уверенно знаете Python и интересуетесь Go;
 любите придумывать новое и воплощать это в жизнь.",Yandex,
9,Android-разработчик в команду библиотеки авторизации,4574,http://yandex.ru/jobs/vacancies/android-разработчик-в-команду-библиотеки-авторизации-4574,"В группу мобильной разработки систем авторизации требуется Android-разработчик. Наша команда работает над библиотекой, которая входит в состав каждого приложения Яндекса, – библиотекой авторизации пользователей, предназначенной для управления данными учетных записей (аккаунтов) и централизованной авторизации пользователей. Разработка библиотеки ведется на Kotlin. Под нашим присмотром находится и приложение Яндекс.Ключ — одноразовые пароли для двухфакторной авторизации.
 Нашему будущему коллеге предстоит участвовать в обсуждении архитектуры, писать многопоточный код, дорабатывать и улучшать эти продукты, общаться с разработчиками приложений, которые их используют.
 У нас есть интересные задачи по организации межпроцессного взаимодействия приложений, которыми пользуются миллионы пользователей ежедневно.",,"Мы ждем, что вы:
 уверенное знание Java и Kotlin;
 опыт разработки под Android не менее трех лет;
 умение работать в команде;
 опыт многопоточного программирования;
 знание классических алгоритмов и структур данных.",Yandex,
