,title,internal_id,url,description,responsibilities,qualifications,location,type,company,publish_date
0,Senior Business Analyst,241584,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241584,,Requirement clarification with Product Manager SDS (Software Design Specification) preparation (including UML Diagrams) for each received requirements AR (Allocated Requirement) preparation from original SR (Software Requirement) for development team,Business Skills Requirements: Architectural clarification of existing and new microservices for Petal Maps project Enhance operations by performing systems analysis; suggest modifications in procedures and policies Clarify the problems with different teams Professional Knowledge Requirement: Bachelor’s degree in computer science (or related field) or equivalent industry experience Experience building interactive and responsive user interfaces Experience with Vue. js or similar libraries / frameworks like React. js or Angular,Turkey/Istanbul,营销族,Huawei,2022-07-04 00:00:00+08:00
1,Quality Assurance Engineer,241540,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241540,,"Responsible for demand analysis, Including of one or more modules, code testing, unit testing, integration testing, static inspection, local composition, test environment structures, problem location, Data development and so on.","Business Skills Requirements: 1) familiar with the distributed architecture, distributed software development experience; 2) familiar with Openstack, WMWare and other cloud operating system software; 3) Experience in cloud computing and large data / SDN / NFV development;4 4)skilled use of the database for performance tuning; 5)with good communication skills, hard, dedicated, motivated, have a good team spirit. The technology has passion, like to study Professional Knowledge Requirement: 1)information systems / computer / communications and other related professional, undergraduate and above, English through four and above; 2)familiar with at least one of C / C ++, JAVA, Python, JS, master common data structures, algorithms, understand software engineering, agile development and other knowledge, familiar with common design patterns; 3)to understand the database field one or more characteristics of the core principles of the distribution, consistency and other algorithms have a certain understanding. 4)communication business background, network communication related protocol STP / OAM / MPLS / OSPF / DHCP; 5)there are several areas of business, cloud computing and large data field development experience is preferred.",Turkey/Istanbul,质量与流程IT族,Huawei,2022-07-04 00:00:00+08:00
2,Senior Product Manager,241588,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241588,,"Build and own a batch of compelling product feature for Petal Search Stay up-to-date on customer needs and market trends Take charge of market insight, competitive product analysis, and end user requirement analysis and prioritization for search vertical products (such as Shopping, travel, Local, Sports, Education, Video, Music, Image and so on), 2B Ecosystem Platform (Integration with vertical industry Take charge of search product roadmap management, business model design, and third-party CP ecosystem cooperation to build competitive search products. Take charge of new product search, design new features and promote product iteration implementation in cross-product teams. Design key experience and performance indicators, and drive users to understand search intentions and continuously improve search algorithms. Undertake user satisfaction KPIs, explore potential user requirements and product improvement directions through data analysis, and improve user satisfaction.","Business Skills Requirements: Excellent organization, coordination, and teamwork capabilities, strong sense of responsibility. Strong communication skills, and excellent spoken English. Candidates with experience in search, vertical service, platform design and development are preferred. Professional Knowledge Requirement: Bachelor degree or above, experience in Internet search products, familiar with Internet technologies and data analysis capabilities. Analytical capabilities and decision-making driven by data, able to manage product experience and performance qualitatively and quantitatively. Excellent product design capabilities, able to identify users' real requirements, be able to independently complete tasks such as PRD, UX design, requirement data definition, and data dotting design. Have success cases of market insight, competitive product analysis, charter initiation, roadmap management, and business model design",Turkey/Istanbul,营销族,Huawei,2022-07-04 00:00:00+08:00
3,Product Manager,241586,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241586,,"Build and own a batch of compelling product feature for Petal Search Stay up-to-date on customer needs and market trends Take charge of market insight, competitive product analysis, and end user requirement analysis and prioritization for search vertical products (such as Shopping, travel, Local, Sports, Education, Video, Music, Image and so on), 2B Ecosystem Platform (Integration with vertical industry Take charge of search product roadmap management, business model design, and third-party CP ecosystem cooperation to build competitive search products. Take charge of new product search, design new features and promote product iteration implementation in cross-product teams. Design key experience and performance indicators, and drive users to understand search intentions and continuously improve search algorithms. Undertake user satisfaction KPIs, explore potential user requirements and product improvement directions through data analysis, and improve user satisfaction.","Business Skills Requirements: Excellent organization, coordination, and teamwork capabilities, strong sense of responsibility. Strong communication skills, and excellent spoken English. Candidates with experience in search, vertical service, platform design and development are preferred. Professional Knowledge Requirement: Bachelor degree or above, experience in Internet search products, familiar with Internet technologies and data analysis capabilities. Analytical capabilities and decision-making driven by data, able to manage product experience and performance qualitatively and quantitatively. Excellent product design capabilities, able to identify users' real requirements, be able to independently complete tasks such as PRD, UX design, requirement data definition, and data dotting design. Have success cases of market insight, competitive product analysis, charter initiation, roadmap management, and business model design",Turkey/Istanbul,营销族,Huawei,2022-07-04 00:00:00+08:00
4,Software Engineer,241576,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241576,,"Responsible for demand analysis, Including of one or more modules, code testing, unit testing, integration testing, static inspection, local composition, test environment structures, problem location, Data development and so on.","Business Skills Requirements: 1) familiar with the distributed architecture, distributed software development experience; 2) familiar with Openstack, WMWare and other cloud operating system software; 3) Experience in cloud computing and large data / SDN / NFV development;4 4)skilled use of the database for performance tuning; 5)with good communication skills, hard, dedicated, motivated, have a good team spirit. The technology has passion, like to study Professional Knowledge Requirement: 1)information systems / computer / communications and other related professional, undergraduate and above, English through four and above; 2)familiar with at least one of C / C ++, JAVA, Python, JS, master common data structures, algorithms, understand software engineering, agile development and other knowledge, familiar with common design patterns; 3)to understand the database field one or more characteristics of the core principles of the distribution, consistency and other algorithms have a certain understanding. 4)communication business background, network communication related protocol STP / OAM / MPLS / OSPF / DHCP; 5)there are several areas of business, cloud computing and large data field development experience is preferred.",Turkey/Istanbul,研发族,Huawei,2022-07-04 00:00:00+08:00
6,Software Test Engineer,241566,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241566,,"Focus on the business presence of the Technology Introduction area and analyze and review presence on a regular basis, proactively facilitate integration, support delivery of businesses in the Technology Introduction department, especially innovative, turned around and new business, fully utilize the advantages in field management and support the research center in developing its business capabilities and enhancing its efficiency. Deploy the key technologies of the domain and ensure the technical competencies of the products.","Business Skills Requirements: Problem solving, Good communication to work with the customer. Candidate should have analytical thinking. Complete the test execution and build environments for basic functions, Stories, documentation, and iteration acceptance under guidance; the execution is accurate without omission; no incident on live networks or cyber security incident occurs due to basic functions or documentation,Complete use case maintenance of functions, Stories, and documentation of the R / C versions. Was able to maintain test cases and common automation cases to improve product quality and efficiency. Professional Knowledge Requirement: Knowledge on JIRA, HPQC tools is preferable, Candidate should have at high level of Linux OS, Database and SQL knowledge, Knowledge of product business and components Security basics and basic security testing technologies Basics of the Product Test Management (PTM) process Overview of agile development Basics of testing technologies Basic concepts of testing tools and automation Documentation test Core quality concepts and issue resolution and improvement Software development knowledge",Turkey/Istanbul,研发族,Huawei,2022-07-04 00:00:00+08:00
8,生产计划工程师,241513,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241513,,标准职责 根据要货预测、产品供应能力等，制定S&OP建议计划、主计划 / 物料需求计划 / 加工计划建议、供应中心分销计划，支撑决策并落地执行17级定位：基于供需形势及产品切换路标，负责某特定产品系列或物料类别的计划例行运作（含供需信息收集、计划参数维护、计划制定、存货数据分析等），支撑计划决策，并落地执行。 | | 在供应连续性的策略指导下，收集市场需求、产品切换方案，基于供应能力，制定S&OP建议计划；制定可执行的主计划 / 物料需求计划 / 加工计划建议、供应中心分销计划，驱动制造及供应商资源准备； | | 跟进产品 / 器件等供需风险及管控措施，针对异常及时通报反馈； | | 跟踪各产品、区域计委的任务执行，协调问题的解决，确保计划及策略有效执行； | | 维护计划参数、监控计划达成情况，持续提升计划工作质量； | | 根据各产品存货经营指引、存货管理策略等，通过数据分析，识别存货风险，协助制定存货管理方案并落地执行。 自定义职责 null,业务技能要求： - 具备制定产品计划和存货分析的技能 - 具备较强的逻辑思维能力、沟通协调能力及人际理解力； - 较强的学习能力、风险意识及快速应对风险的能力； - 良好的数据处理能力及总结归纳能力。 专业知识要求： - 熟悉公司ICT相关产品相关基础知识（产品配置特点、供需形势及演进方向，版本切换），熟悉公司基本流程（IPD / LTC / SUPPLY等）； - 掌握计划方法及计划逻辑，理解计划策略、产品全生命周期计划管理方法； - 熟悉存货流转过程，掌握冗余存货处理方法。,Hungary/Budapest,供应链族,Huawei,2022-07-04 00:00:00+08:00
9,Senior Software Test Engineer,241568,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241568,,"Focus on the business presence of the Technology Introduction area and analyze and review presence on a regular basis, proactively facilitate integration, support delivery of businesses in the Technology Introduction department, especially innovative, turned around and new business, fully utilize the advantages in field management and support the research center in developing its business capabilities and enhancing its efficiency. Deploy the key technologies of the domain and ensure the technical competencies of the products.","Business Skills Requirements: Problem solving, Good communication to work with the customer. Candidate should have analytical thinking. Complete the test execution and build environments for basic functions, Stories, documentation, and iteration acceptance under guidance; the execution is accurate without omission; no incident on live networks or cyber security incident occurs due to basic functions or documentation,Complete use case maintenance of functions, Stories, and documentation of the R / C versions. Was able to maintain test cases and common automation cases to improve product quality and efficiency. Professional Knowledge Requirement: Knowledge on JIRA, HPQC tools is preferable, Candidate should have at high level of Linux OS, Database and SQL knowledge, Knowledge of product business and components Security basics and basic security testing technologies Basics of the Product Test Management (PTM) process Overview of agile development Basics of testing technologies Basic concepts of testing tools and automation Documentation test Core quality concepts and issue resolution and improvement Software development knowledge",Turkey/Istanbul,研发族,Huawei,2022-07-04 00:00:00+08:00
10,Assistant Software Engineer,241570,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241570,,"Responsible for demand analysis, Including of one or more modules, code testing, unit testing, integration testing, static inspection, local composition, test environment structures, problem location, Data development and so on.","Business Skills Requirements: 1) familiar with the distributed architecture, distributed software development experience; 2) familiar with Openstack, WMWare and other cloud operating system software; 3) Experience in cloud computing and large data / SDN / NFV development;4 4)skilled use of the database for performance tuning; 5)with good communication skills, hard, dedicated, motivated, have a good team spirit. The technology has passion, like to study Professional Knowledge Requirement: 1)information systems / computer / communications and other related professional, undergraduate and above, English through four and above; 2)familiar with at least one of C / C ++, JAVA, Python, JS, master common data structures, algorithms, understand software engineering, agile development and other knowledge, familiar with common design patterns; 3)to understand the database field one or more characteristics of the core principles of the distribution, consistency and other algorithms have a certain understanding. 4)communication business background, network communication related protocol STP / OAM / MPLS / OSPF / DHCP; 5)there are several areas of business, cloud computing and large data field development experience is preferred.",Turkey/Istanbul,研发族,Huawei,2022-07-04 00:00:00+08:00
12,Business Development Manager,241582,https://career.huawei.com/socRecruitment/services/portal/portalpub/getJobDetail?jobId=241582,,"- Planning, designing and executing the business development processes. - Leading the related work field in accordance with the KPIs, - Providing qualified business solutions and support to content providers. - Working closely with the product and development teams to generate solutions. - Managing and retaining the relationships with the existing content providers. - Being capable of generating alternative cooperation scenarios based on growth. - Analyzing the market for potential partnerships in various sectors - Improving the current business flows based on expectations and learnings. - Managing the relations with vendors and agencies in accordance with KPIs. - Executing the foreign market expansion of the local business development team. - Providing performance reports in a timely manner to multiple business units. - Tracking and testing the results related to content providers at certain intervals","Business Skills Requirements: - Being highly aware of search engine structure and methodology. - Being up-to-date on mobile and web search market trends and features. - General understanding of HMS (Huawei Mobile Ecosystem) and its parts. - Have strong learning and adaptability, and a strong will to succeed. - Analytical thinking skills used in reporting, analysis and idea creation. - Being a strong problem solver Professional Knowledge Requirement: - Bachelor’s degree or above, able to cope with global business trips. - Minimum 3 years work experience in business development, marketing, or key account management roles. - Preferably experienced in the development / launch stage of a digital product or SaaS - Experienced in digital marketing and ads sales - Being flexible while working with regularly updated targets and also creating ideas, implementing and executing strategies in a timely manner to provide solutions in a timely manner. - Have good capabilities of communicating with customers or channels, organizing and coordinating, and thinking in a structured manner. - Strong written and verbal English communication skills",Turkey/Istanbul,营销族,Huawei,2022-07-04 00:00:00+08:00
